Vendor,Product,Product Number,Serial Number,MAC,Software,Exclude
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:41:ea,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WA,iMG634A+AC0-MAIN,,00:0d:da:05:42:45,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG634WB,iMG634B+AC0-MAIN,,00:0d:da:05:70:c1,3+AC0-5 release 83+AF8-03+AF8-103+AF8-21+AF8-01,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:13:a7,3+AC0-8+AC0-05 release 02,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:13:a7,3+AC0-8+AC0-05 release 02,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:13:a7,3+AC0-8+AC0-05 release 02,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:17:08,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis Holdings K.K.,iMG646BD,iMG600E,,00:0d:da:06:19:3d,2+AC0-5 release 48+AF8-01+AF8-01,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:19:80,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:1a:0e,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:1a:10,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:1a:93,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:1b:37,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:1b:95,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:1b:be,3+AC0-8+AC0-04 release 29,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:1c:00,3+AC0-8+AC0-02 release 25,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:23:48,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:24:e3,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:25:75,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:25:b5,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:26:8a,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:27:2f,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:28:92,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:28:bc,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:29:1b,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:29:dc,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:2b:5e,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis K.K.,iMG646BD,iMG600E,,00:0d:da:06:2c:90,2+AC0-4 release 58+AF8-02+AF8-03,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:30:af,3+AC0-8+AC0-05 release 04,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:30:bd,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:30:cc,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:31:37,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:31:65,3+AC0-8+AC0-04 release 29,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:31:77,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:31:7c,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:31:af,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:31:bc,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:32:26,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:32:2a,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:32:78,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:32:cb,3+AC0-7+AC0-04 release 34+AF8-01+AF8-16,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:33:6f,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG646BD,RG6X6E,,00:0d:da:06:33:95,3+AC0-8+AC0-03 release 14,
Allied Telesis K.K.,iMG613RF,,,00:0d:da:06:36:2e,2+AC0-3 release 59+AF8-02+AF8-01,
Allied Telesis K.K.,iMG613RF,,,00:0d:da:06:37:5f,2+AC0-3 release 59+AF8-02+AF8-01,
Allied Telesis Holdings K.K.,iMG613RF,iMG600E,,00:0d:da:06:38:91,2+AC0-5 release 55,
Allied Telesis K.K.,iMG613RF,,,00:0d:da:06:3c:02,2+AC0-3 release 59+AF8-02+AF8-01,
Allied Telesis K.K.,iMG613RF,,,00:0d:da:06:3c:c5,2+AC0-3 release 59+AF8-02+AF8-01,
Allied Telesis K.K.,iMG613RF,,,00:0d:da:06:3d:49,2+AC0-3 release 59+AF8-02+AF8-01,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:ae:11,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:ae:24,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:ae:35,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:b0:28,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:b2:25,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:b4:85,3+AC0-5 release 83+AF8-03+AF8-69,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:b5:cc,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:b6:cf,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:b8:52,3+AC0-8+AC0-02 release 25,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:bd:61,3+AC0-7+AC0-03 release 18,
Allied Telesis Holdings K.K.,iMG616BD,iMG616E,,00:0d:da:06:bf:50,3+AC0-5 release 83,
Allied Telesis Holdings K.K.,iMG616LH,iMG616E,,00:0d:da:06:c1:9f,3+AC0-5 release 83+AF8-03+AF8-51,
Allied Telesis Holdings K.K.,iMG616LH,iMG616E,,00:0d:da:06:c1:9f,3+AC0-5 release 83+AF8-03+AF8-51,
