Vendor,Product,Product Number,Serial Number,MAC,Software,Release Year?,Exclude
Lantronix,Demo Server,,,00:20:4A:A0:E9:CF,Software version V04.0 (040923) CPK+AF8-550+AF8-M100,,
Lantronix,Demo Server,,,00:20:4A:A0:E9:E7,Software version V04.0 (040923) CPK+AF8-550+AF8-M100,,
Lantronix,Demo Server,,,00:20:4A:A0:EA:0F,Software version V04.0 (040923) CPK+AF8-550+AF8-M100,,
Lantronix,Demo Server,,,00:20:4A:A0:EA:15,Software version V04.0 (040923) CPK+AF8-550+AF8-M100,,
Lantronix,Demo Server,,,00:20:4A:A0:EA:86,Software version V04.0 (040923) CPK+AF8-550+AF8-M100,,
Lantronix,Demo Server,,,00:20:4A:A0:EA:A9,Software version V04.0 (040923) CPK+AF8-550+AF8-M100,,
Lantronix,Demo Server,,,00:20:4A:A0:EA:AD,Software version V04.0 (040923) CPK+AF8-550+AF8-M100,,
Lantronix,Demo Server,,,00:20:4A:A0:EA:B0,Software version V04.0 (040923) CPK+AF8-550+AF8-M100,,
Lantronix,Demo Server,,,00:20:4A:A0:EA:B9,Software version V04.0 (110519) CPK+AF8-550+AF8-M100,,
Lantronix,UDS1100 Device Server,,,00:20:4A:A0:F1:C0,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A0:F2:27,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A0:F2:96,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A0:F3:F8,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A0:F7:B9,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A0:FD:38,Software version V6.5.0.0 (070402),,
Lantronix,Demo Server,,,00:20:4A:A0:FE:1E,Software version V04.0 (040923) CPK+AF8-550+AF8-M100,,
Lantronix,Demo Server,,,00:20:4A:A0:FE:31,Software version V04.0 (040923) CPK+AF8-550+AF8-M100,,
Lantronix,UDS1100+AC0-IAP Device Server,,,00:20:4A:A2:09:6F,Software version V6.1.0.3 (060825) UDS1100,,
Lantronix,UDS1100+AC0-IAP Device Server,,,00:20:4A:A2:09:9F,Software version V6.1.0.3 (060825) UDS1100,,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0B:A4,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0C:39,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0C:4B,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0C:79,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0C:7C,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0C:8B,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0C:9D,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0D:C0,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0E:BD,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0E:D2,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0E:DD,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0E:EE,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0F:0F,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0F:97,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:0F:BC,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:10:7C,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:10:8E,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:10:9E,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:10:A7,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:10:B0,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:10:B3,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:10:B4,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:10:C0,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:10:CA,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:10:CC,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:11:47,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:11:48,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:12:AA,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:12:AB,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:12:BC,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:12:DF,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:12:F0,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:13:96,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:13:D5,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:13:FF,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:14:0D,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:14:24,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:14:78,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:14:7D,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:14:7F,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:14:8A,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:14:97,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:15:0F,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:1B:33,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:20:56,Software version V6.5.0.0 (070402),,
Lantronix,UDS2100 Device Server,,,00:20:4A:A2:25:42,Software version V6.5.0.0 (070402),,
Lantronix,UDS2100 Device Server,,,00:20:4A:A2:26:41,Software version V6.5.0.0 (070402),,
Lantronix,UDS2100 Device Server,,,00:20:4A:A2:36:E6,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:38:68,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:3E:EC,Software version V6.8.0.2 (120710),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:43:A9,Software version V6.8.0.2 (120710),,
Lantronix,UDS1100+AC0-IAP Device Server,,,00:20:4A:A2:4B:94,Software version V6.1.0.3 (060825) UDS1100,,
Lantronix,UDS1100+AC0-IAP Device Server,,,00:20:4A:A2:4B:C2,Software version V6.1.0.3 (060825) UDS1100,,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:53:3C,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100+AC0-IAP Device Server,,,00:20:4A:A2:56:CD,Software version V6.1.0.3 (060825) UDS1100,,
Lantronix,UDS1100+AC0-IAP Device Server,,,00:20:4A:A2:56:E1,Software version V6.1.0.3 (060825) UDS1100,,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:57:A8,Software version V6.5.0.0 (070402),,
Lantronix,UDS2100 Device Server,,,00:20:4A:A2:5E:EF,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:60:D3,Software version V6.5.0.7 (070807),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:64:EF,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:68:73,Software version V6.8.0.2 (120710),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:68:7D,Software version V6.8.0.2 (120710),,
Lantronix,UDS1100+AC0-IAP Device Server,,,00:20:4A:A2:6A:52,Software version V6.1.0.3 (060825) UDS1100,,
Lantronix,UDS2100 Device Server,,,00:20:4A:A2:91:10,Software version V6.7.0.3 (110711),,
Lantronix,UDS2100 Device Server,,,00:20:4A:A2:92:2A,Software version V6.5.0.7 (070807),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:98:08,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100+AC0-IAP Device Server,,,00:20:4A:A2:9F:3E,Software version V6.11.0.0 (150514) UDS1100,,
Lantronix,UDS1100+AC0-IAP Device Server,,,00:20:4A:A2:9F:9D,Software version V6.1.0.3 (060825) UDS1100,,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:A4:93,Software version V6.8.0.2 (120710),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:A5:F7,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:B8:8A,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:B8:CF,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100+AC0-IAP Device Server,,,00:20:4A:A2:BB:8B,Software version V6.1.0.3 (060825) UDS1100,,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:BC:AA,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:BC:BA,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:BC:C8,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:BC:D9,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:BC:F4,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:BD:58,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:BD:8B,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100+AC0-IAP Device Server,,,00:20:4A:A2:BD:A7,Software version V6.1.0.3 (060825) UDS1100,,
Lantronix,UDS2100 Device Server,,,00:20:4A:A2:CC:AA,Software version V6.5.0.7 (070807),,
Lantronix,+ACoAKgAq- Sielox/Lantronix Network Adaptor,,,00:20:4A:A2:D2:AC,Software version V6.1.15.3 (070305) UDS1100,,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:E3:29,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:E3:D9,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100+AC0-IAP Device Server,,,00:20:4A:A2:EB:60,Software version V6.1.0.3 (060825) UDS1100,,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:F4:E9,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:F5:12,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:F5:16,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:F9:E0,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:A2:F9:FC,Software version V6.5.0.0 (070402),,
Lantronix,Demo Server,,,00:20:4A:A6:FD:B4,Software version V2.1.0.0 (060615) CPK6101+AF8-XPTEX,,
Lantronix,Demo Server,,,00:20:4A:A7:1A:77,Software version V1.4.2.0 (071211) CPK6101+AF8-XPTEX,,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:09:A6,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:0C:82,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:0D:0A,Software version V6.8.0.2 (120710),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:10:20,Software version V6.5.0.0 (070402),,
Lantronix,Demo Server,,,00:20:4A:AB:1E:54,Software version V04.0 (040923) CPK+AF8-550+AF8-M100,,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:22:05,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:22:CD,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:23:97,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:29:81,Software version V6.11.0.0 (150508),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:2B:28,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:2D:45,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:2D:F6,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:31:46,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:31:DD,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:32:57,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:34:56,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:43:6D,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:48:84,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:50:9A,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:60:E0,Software version V6.8.0.2 (120710),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:66:9F,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:7E:DD,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:A1:0E,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:A3:D2,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:A7:FD,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:A8:80,Software version V6.5.0.0 (070402),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:AA:69,Software version V6.8.0.2 (120710),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:AB:2F,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:AB:AC,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:AB:B2,Software version V6.8.0.2 (120710),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:AB:C0,Software version V6.6.0.1 (080808),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:AC:A2,Software version V6.8.0.2 (120710),,
Lantronix,UDS1100 Device Server,,,00:20:4A:AB:AC:C3,Software version V6.6.0.1 (080808),,
