Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Moxa,NP5110,,00:90:e8:11:00:c4,,,
Moxa,NP5110,,00:90:e8:11:01:fc,,,
Moxa,NP5110,,00:90:e8:11:02:e5,,,
Moxa,NP5110,,00:90:e8:11:0b:7b,,,
Moxa,W2150,,00:90:e8:11:0b:7c,,,
Moxa,NP5110,,00:90:e8:11:0b:85,,,
Moxa,NP5110,,00:90:e8:11:0b:93,,,
Moxa,NP5110,,00:90:e8:11:0b:c9,,,
Moxa,NP5110,,00:90:e8:11:0c:02,,,
Moxa,NP5110,,00:90:e8:11:21:60,,,
Moxa,NP6450,,00:90:e8:11:32:8f,,,
Moxa,NP5410,,00:90:e8:11:40:7b,,,
Moxa,NP5210,,00:90:e8:11:60:56,,,
Moxa,NE4110,,00:90:e8:11:8b:5f,,,
Moxa,NP5110,,00:90:e8:11:a5:97,,,
Moxa,NP5110,,00:90:e8:11:a8:b7,,,
Moxa,NE4110S,,00:90:e8:11:b4:b8,,,
Moxa,NE4100T,,00:90:e8:11:b7:95,,,
Moxa,NE4100T,,00:90:e8:11:b8:43,,,
Moxa,NE4100T,,00:90:e8:11:bb:cd,,,
Moxa,NE4100T,,00:90:e8:11:bb:f0,,,
Moxa,NP5232,,00:90:e8:11:c4:b1,,,
Moxa,NP5150,,00:90:e8:11:cc:c6,,,
Moxa,NP5210,,00:90:e8:11:da:af,,,
Moxa,NP5210,,00:90:e8:11:da:f1,,,
Moxa,NE4100T,,00:90:e8:11:e4:1c,,,
Moxa,NE4100T,,00:90:e8:11:e7:d1,,,
Moxa,NE4100T,,00:90:e8:11:e7:df,,,
Moxa,NE4100T,,00:90:e8:11:e7:e6,,,
Moxa,NE4100T,,00:90:e8:11:e7:f2,,,
Moxa,NE4100T,,00:90:e8:11:e7:f5,,,
Moxa,NE4100T,,00:90:e8:11:e7:f6,,,
Moxa,NE4100T,,00:90:e8:11:e7:fe,,,
Moxa,NE4100T,,00:90:e8:11:e8:f9,,,
Moxa,NE4100T,,00:90:e8:11:e9:a6,,,
Moxa,NE4100T,,00:90:e8:11:ea:0a,,,
Moxa,NE4100T,,00:90:e8:11:ea:14,,,
Moxa,NE4100T,,00:90:e8:11:ea:16,,,
Moxa,NP5150,,00:90:e8:11:f0:c3,,,
Moxa,NP5150,,00:90:e8:11:f0:cc,,,
Moxa,NP5110,,00:90:e8:11:f6:e5,,,
Moxa,NP5110,,00:90:e8:11:f7:72,,,
Moxa,NP5110,,00:90:e8:11:f9:19,,,
Moxa,NP5110,,00:90:e8:11:fc:bc,,,
Moxa,NP5110,,00:90:e8:11:fd:20,,,
Moxa,NP5232,,00:90:e8:12:03:ea,,,
Moxa,NP5130,,00:90:e8:12:07:bc,,,
Moxa,NP5210,,00:90:e8:12:22:14,,,
Moxa,NP5210,,00:90:e8:12:24:dc,,,
Moxa,NP5410,,00:90:e8:12:2d:d1,,,
Moxa,NP5150,,00:90:e8:12:43:ab,,,
Moxa,NP5130,,00:90:e8:12:48:a8,,,
Moxa,NP5130,,00:90:e8:12:49:f5,,,
Moxa,NP5130,,00:90:e8:12:4a:8d,,,
Moxa,NP5110,,00:90:e8:12:4e:1c,,,
Moxa,NP5110,,00:90:e8:12:51:c9,,,
Moxa,NP5110,,00:90:e8:12:51:f1,,,
Moxa,NP5110,,00:90:e8:12:52:21,,,
Moxa,NP5110,,00:90:e8:12:52:35,,,
Moxa,NP5110,,00:90:e8:12:52:36,,,
Moxa,NP5110,,00:90:e8:12:52:3e,,,
Moxa,NP5110,,00:90:e8:12:52:55,,,
Moxa,NP5110,,00:90:e8:12:52:5d,,,
Moxa,NP5110,,00:90:e8:12:52:de,,,
Moxa,NP5110,,00:90:e8:12:54:67,,,
Moxa,NP5210,,00:90:e8:12:5f:dc,,,
Moxa,NP5210,,00:90:e8:12:60:b9,,,
Moxa,NP6150,,00:90:e8:12:63:3f,,,
Moxa,NP5230,,00:90:e8:12:71:85,,,
Moxa,NP5232,,00:90:e8:12:72:ad,,,
Moxa,NP5232,,00:90:e8:12:72:bd,,,
Moxa,NP5232,,00:90:e8:12:72:e8,,,
Moxa,NP5232,,00:90:e8:12:72:f2,,,
Moxa,NP5232,,00:90:e8:12:72:f5,,,
Moxa,NP5232,,00:90:e8:12:72:fc,,,
Moxa,NP5210,,00:90:e8:12:73:e9,,,
Moxa,NP5110,,00:90:e8:12:a4:80,,,
Moxa,NP5110,,00:90:e8:12:a6:01,,,
Moxa,NP5110,,00:90:e8:12:a6:2d,,,
Moxa,NP5110,,00:90:e8:12:a8:ac,,,
Moxa,NP5150,,00:90:e8:13:03:7a,,,
Moxa,NE4100T,,00:90:e8:13:25:5a,,,
Moxa,NE4100T,,00:90:e8:13:26:1d,,,
Moxa,NE4100T,,00:90:e8:13:27:51,,,
Moxa,NP5210,,00:90:e8:13:30:26,,,
Moxa,NP5210,,00:90:e8:13:30:29,,,
Moxa,NP5110,,00:90:e8:13:4e:78,,,
Moxa,NP5110,,00:90:e8:13:4e:e8,,,
Moxa,NP5110,,00:90:e8:13:4f:1a,,,
Moxa,NP5110,,00:90:e8:13:55:43,,,
Moxa,NP5110,,00:90:e8:13:57:3a,,,
Moxa,NP5110,,00:90:e8:13:59:db,,,
Moxa,NE4100T,,00:90:e8:13:68:0b,,,
Moxa,NE4100T,,00:90:e8:13:68:1e,,,
Moxa,NE4100T,,00:90:e8:13:68:32,,,
Moxa,NE4100T,,00:90:e8:13:69:6f,,,
Moxa,NE4100T,,00:90:e8:13:69:c6,,,
Moxa,NE4100T,,00:90:e8:13:69:c9,,,
Moxa,NE4100T,,00:90:e8:13:69:cb,,,
Moxa,NE4100T,,00:90:e8:13:6c:6b,,,
Moxa,NP5150,,00:90:e8:13:7d:5e,,,
Moxa,NP5230,,00:90:e8:13:83:ad,,,
Moxa,NP5230,,00:90:e8:13:83:ae,,,
Moxa,NP5230,,00:90:e8:13:83:da,,,
Moxa,NP5230,,00:90:e8:13:83:db,,,
Moxa,NP5230,,00:90:e8:13:84:07,,,
Moxa,NP5232,,00:90:e8:14:12:f1,,,
Moxa,NP5232,,00:90:e8:14:13:13,,,
Moxa,NP5232,,00:90:e8:14:13:18,,,
Moxa,NP5230,,00:90:e8:14:14:9e,,,
Moxa,NP5230,,00:90:e8:14:14:fc,,,
Moxa,NP5110,,00:90:e8:14:1a:48,,,
Moxa,NP5110,,00:90:e8:14:1a:6d,,,
Moxa,NP5110,,00:90:e8:14:1b:af,,,
Moxa,NP5110,,00:90:e8:14:1d:e7,,,
Moxa,NP5110,,00:90:e8:14:24:dc,,,
Moxa,NP5110,,00:90:e8:14:26:a7,,,
Moxa,NP5110,,00:90:e8:14:26:dd,,,
Moxa,NP5110,,00:90:e8:14:27:79,,,
Moxa,NP5110,,00:90:e8:14:27:7a,,,
Moxa,NP5130,,00:90:e8:14:2f:fb,,,
Moxa,NP5210,,00:90:e8:14:33:87,,,
Moxa,NE4110,,00:90:e8:14:41:67,,,
Moxa,NP5110,,00:90:e8:14:4d:36,,,
Moxa,NP5110,,00:90:e8:14:4d:5f,,,
Moxa,NP5110,,00:90:e8:14:51:6b,,,
Moxa,NP5110,,00:90:e8:14:52:59,,,
Moxa,NP5110,,00:90:e8:14:52:a3,,,
Moxa,NP5110,,00:90:e8:14:56:8a,,,
Moxa,NP5110,,00:90:e8:14:56:b0,,,
Moxa,NP5110,,00:90:e8:14:59:af,,,
Moxa,NP5610,,00:90:e8:14:5b:a1,,,
Moxa,NP5232,,00:90:e8:14:5f:52,,,
Moxa,NP5610,,00:90:e8:14:87:42,,,
Moxa,NP5610,,00:90:e8:14:87:48,,,
Moxa,NP5430,,00:90:e8:14:8a:54,,,
Moxa,NP5430,,00:90:e8:14:8a:ce,,,
Moxa,NP5110,,00:90:e8:14:8c:58,,,
Moxa,NP5110,,00:90:e8:14:8c:ba,,,
Moxa,NP5110,,00:90:e8:14:92:89,,,
Moxa,NP5110,,00:90:e8:14:93:bf,,,
Moxa,NP5110,,00:90:e8:14:95:25,,,
Moxa,NP5110,,00:90:e8:14:97:a7,,,
Moxa,NP5110,,00:90:e8:14:9a:12,,,
Moxa,NP5110,,00:90:e8:14:9a:f6,,,
Moxa,NP5210,,00:90:e8:14:9e:8f,,,
Moxa,NP5130,,00:90:e8:14:c0:9e,,,
Moxa,NE4110S,,00:90:e8:14:c9:11,,,
Moxa,NP5450,,00:90:e8:14:ed:ff,,,
